,job_title,org_name,salary_min,salary_max,director_flag,analyst_flag,scientist_flag,manager_flag,engineer_flag,url,data_science,data_engineering,database_design,data_analysis,collaborate_stakeholders,data_quality,strong_communication,communication_skills,data_pipelines,unstructured_data,data_lake,data_model,data_scientist,data_requirements,team_management,data_manipulation,data_warehouse,machine_learning,sql,python,tableau,JobType
80,Statistician,Department of the Treasury,69107.0,158432.0,,1.0,,,,https://www.usajobs.gov/job/745958000,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,Data Analyst
81,Director of Research and Evaluation,City of Philadephia,77400.0,101000.0,1.0,,,,,https://www.smartrecruiters.com/CityofPhiladelphia/743999934785221-director-of-research-and-evaluation,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,Director
82,ORU Research and Data Manager,City of Philadephia,70000.0,80000.0,,,,1.0,,https://jobs.smartrecruiters.com/CityofPhiladelphia/743999935468945-oru-research-and-data-managerr,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Manager
83,Information Technology Specialist,National Gallery of Art,112000.0,173000.0,,1.0,,,,https://www.linkedin.com/jobs/view/3734606942/?refId=4Cb7%2BdE2TrmHpFvVrMoBGA%3D%3D&trackingId=4Cb7%2BdE2TrmHpFvVrMoBGA%3D%3D,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Data Analyst
84,I&T DATA SERVICES ANALYST,City of Charlotte,78814.0,93500.0,,1.0,,,,https://www.jobapscloud.com/oec/Charlotte/Jobs/Bulletin?R1=2310&R2=371100&R3=01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
85,Program Reporting and Transparency Manager,State of Colorado,100620.0,134400.0,,,,1.0,,https://www.governmentjobs.com/careers/colorado/jobs/newprint/4232513,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Manager
86,CCCAP Research and Data Analyst,State of Colorado,68100.0,88524.0,,1.0,,,,https://www.governmentjobs.com/careers/colorado/jobs/newprint/4221282,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Data Analyst
87,IT Specialist (Data Management),Federal Aviation Administration,88791.0,137651.0,,1.0,,,,https://www.usajobs.gov/job/752666400?share,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,Data Analyst
88,Business Analyst III - Lottery,State of Colorado,56028.0,72840.0,,1.0,,,,https://www.governmentjobs.com/jobs/newprint/4210357,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
89,Business Intelligence (BI) Developer II,Hennepin County,74269.0,109947.0,,1.0,,,,https://www.governmentjobs.com/jobs/newprint/4197729,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,Data Analyst
90,Data Scientist,Federal Deposit Insurance Corporation,170779.0,250000.0,,,1.0,,,https://www.usajobs.gov/job/750495100,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,Data Scientist
